RNA_VS_library	CID_1	HCV_validation_set	Max_TC	CID_2
NC=1N=CN=CC1CNC(=O)CCC2CCOCC2	Z1520134205	CN(CCCNc1nc2cc(ccc2nc1NCCCc1ccc(cc1)NC(=O)CCCCC1SCC2C1NC(=O)N2)[N+](=O)O)C	0.342227378190255	Compound 4a
CC(CN(C)C=1N=CC(Br)=CN1)C2=NN=NN2	Z1688267876	CN(CCCn1c(nc2c1c1CC(COc1cc2)CN(C)C)N(C)C)C	0.342163355408389	Compound 2
Cl.NC(CC(=O)O)C12CC3CC(CC(C3)C2)C1	Z1762997275	CN(CCCNc1nc2cc(ccc2nc1NCCCc1ccc(cc1)NC(=O)CCCCC1SCC2C1NC(=O)N2)[N+](=O)O)C	0.342105263157895	Compound 4a
Cl.Cl.CCOC(=O)C=1NC=NC1CN	Z2935556256	C[NH+](C)CC1CC2=C3N4CC(C[NH+](C)C)CNC4=[NH+]C3=CC=C2O1	0.342047930283224	Isis-22
CCC=1NN=C(C(=O)O)C1Cl	Z855784308	c12ccc3c(c1C[C@H](CO2)CN(C)C)n1c(n3)NC[C@H](C1)CN(C)C	0.342047930283224	dimethylamine_derivative
Cl.NCC1(CC1)N2C=C(Br)C=N2	Z2865752302	C(CN1C=C(CNC2=C3C=CC=CC3=[NH+]C3=C2OC2=C3C=CC=C2)N=N1)C[NH+]1CCCCC1	0.34192037470726	Quindoline CK1-14
O=C(NCCCC1=CC=CC(Br)=C1)C2=CNN=N2	Z1159042606	c1c2OC[C@@H](Cc2c2c(c1)N=C1[C@H]2C[C@@H](CN1)CN(C)C)CN(C)C	0.341703056768559	Benzimidazole13ibis
CCCc1nc(CNC2CCSCC2)cs1	12943989	C[NH+](C)CC1CC2=C3N4CC(C[NH+](C)C)CNC4=[NH+]C3=CC=C2O1	0.341648590021692	Isis-22
C1C2CC3CC1CC(C2)(C3)N	NCGC00015036-08	CNC(=N)Nc1nc2cc(OC)ccc2c(n1)C	0.34156378600823	VS compound 8b
C(CCC(=O)O)CCN=C(N)N 	Target_lig_54	CCOc1ccc2c(c1)nc(nc2C)NC(=N)N	0.34156378600823	VS compound 8a
Cc1ccc(cc1)NCCCC(NN=Cc1cccs1)=O	5248916	CN1CCN(CC1)CCCNc1nc2cc(ccc2nc1NCCCc1ccc(cc1)NC(=O)/C=C/c1ccc(cc1)N(C)C)[N+](=O)O	0.341558441558442	Compound 4d
O=C(CCC=1C=CC(Cl)=CC1Cl)NC=2C=NNC2	Z372504714	CN(CCCNc1nc2cc(ccc2nc1NCCCc1ccc(cc1)NC(=O)CCCCC1SCC2C1NC(=O)N2)[N+](=O)O)C	0.341491841491841	Compound 4a
[Na+].CC(C([O-])=O)C=1N=CC=CN1	Z2216711550	N=C(Nc1nc(C)cc(n1)C)NCCc1ccccc1	0.341389728096677	Biarylguanidine 2
O=C(O)CC1=CN=NS1	Z1205495547	CN1CCN(CC1)CCCNc1nc2cc(ccc2nc1NCCCc1ccc(cc1)NC(=O)CCCCC1SCC2C1NC(=O)N2)[N+](=O)O	0.34136546184739	Compound 4c
O=C(COC=1C=CC(Cl)=CC1)NC2=NN=CS2	Z62471714	NCCCCC(C(=O)OCO[C@H]1C[C@@H](O[C@@H]1COCOC(=O)C(CCCCN)N)C(=O)Nc1cccc(c1)c1csc(n1)NC(=O)C)N	0.341346153846154	Compound 3b
Cl.O=C(O)CCN1CCN(CC=2SC=CC2Br)CC1	Z1160867389	C(CN1C=C(CNC2=C3C=CC=CC3=[NH+]C3=C2OC2=C3C=CC=C2)N=N1)C[NH+]1CCCCC1	0.341176470588235	Quindoline CK1-14
NS(=O)(=O)NCC1CCCN(CCCC=2C=CC(Cl)=CC2)C1	Z1252547205	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.341158059467919	Compound 2ab
O=C(CC=1C=CC=2C=CC=CC2C1)NC3=NN=CN3	Z86428227	CN1CCN(CC1)CCCNc1nc2cc(ccc2nc1NCCCc1ccc(cc1)NC(=O)/C=C/c1ccc(cc1)N(C)C)[N+](=O)O	0.341085271317829	Compound 4d
O=C(CN1CC2CC2C1)NC3=CN=NS3	Z4311112918	c1cc(ccc1C(=O)C)C(=O)N[C@H](C(=O)N1C[C@H](C[C@H](C1)N)N)CCCNC(=N)N	0.340943683409437	benzamide derivative
Cl.N=C(N)C1CCC=2C=CC=CC2C1	Z3074058762	c1c2OC[C@@H](Cc2c2c(c1)N=C1[C@H]2C[C@@H](CN1)CN(C)C)CN(C)C	0.340807174887892	Benzimidazole13ibis
