RNA_VS_library	CID_1	HCV_validation_set	Max_TC	CID_2
CC(C=1C=CN=CC1)N2CCC(CC2)C3=NC(=CN3)C(N)=O	Z2761777939	C[NH+](C)CC1CC2=C3N4CC(C[NH+](C)C)CNC4=[NH+]C3=CC=C2O1	0.471215351812367	Isis-22
CC1CC2(CN1CC3=CNN=C3C(C)(C)C)CCNCC2	Z2390017843	c12ccc3c(c1C[C@H](CO2)CN(C)C)n1c(n3)NC[C@H](C1)CN(C)C	0.471215351812367	dimethylamine_derivative
CC1=CC=2C(=NC=NC2S1)NCC3CCN4N=CC(C(N)=O)=C4C3	Z1757790819	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.471215351812367	Compound 2ab
Cl.Cl.CC=1C=C2C(=NNC2=CC1C#N)NC(=O)C=3C=CN=C(C3)N4CCN(C)CC4	Z6680514469	O=C(c1ccc(cc1)C(=O)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1	0.471210340775558	Compound 9
CN1C=CN=C1C(NC(=O)CC2=NNC(=O)C=3C=CC=CC23)C=4C=CC=CC4	Z154316290	COc1ccc2c(c1)nc(nc2C)NC(=N)N	0.471210340775558	VS compound 8c
O=C(CC1=CC=NN1)NC2CC3CN(CC23)C(=O)C=4C=CNN4	Z4636551693	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.471204188481675	Compound 2ab
CC1=NC2=CC(=O)NN2C(C)=C1CC(=O)NC3CCN(C3)C4CC4	Z1127376014	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.471198156682028	Compound 2ab
CC(C1=NC=2C=CC=CC2C(=O)N1)N3CCCC(C3)C=4C=CN=CC4	Z2161432813	COc1ccc2c(c1)nc(nc2C)NC(=N)N	0.471190781049936	VS compound 8c
CC(C)C=1C=C(N=C(N1)C(C)C)N2CCC(C2)N3C=C(N=N3)C(=O)O	Z2396013467	COc1ccc2c(c1)nc(nc2C)NC(=N)N	0.471186440677966	VS compound 8c
C1=NNC=2CC(CCC12)C3=NC(=NO3)C=4C=CC=C(C4)CN5CCOCC5	Z1278884953	O=C(c1ccc(cc1)C(=O)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1	0.471186440677966	Compound 9
CC(NCC1(CCCC1)NC(C)C=2C=CC=CC2)C=3C=NC=CN3	Z1441298043	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.471181556195965	Compound 2ab
NC=1N=CC=NC1C(=O)NCC(C2=CC=CS2)N3CCCC3	Z252111600	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.471177944862155	Compound 2ab
CCN1N=C2CCN(CC3=NOC(=N3)C=4C=CC=CC4)CC2=CC1=O	Z1272703569	COc1ccc2c(c1)nc(nc2C)NC(=N)N	0.471175166297118	VS compound 8c
CC=1C=C(C=CN1)CNC=2N=CN=C3NC=NC23	Z3871212473	CN1CCN(CC1)CCCNc1nc2cc(ccc2nc1NCCCc1ccc(cc1)NC(=O)CCCCC1SCC2C1NC(=O)N2)[N+](=O)O	0.471175166297118	Compound 4c
COC(=O)C1=CC2=C(N=CN=C2N1)NCCC3=CCC=4C=CC(=CC34)OC	Z4716115044	COc1ccc2c(c1)nc(nc2C)NC(=N)N	0.471175166297118	VS compound 8c
CC1=NNC(C)=C1C2CCCCCN2C(=O)NCC3=CN=C4CCCCN34	Z2122521826	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.471175166297118	Compound 2ab
Oc1cc(-c2cccnn2)ccc1-c1cc2c(nn1)N(C1C[C@H]3CCC[C@@H](C1)N3)CCO2	Patent_dataset_138	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.471175166297118	Compound 2ab
CC(=O)NC(C(=O)O)C1(C)CC1	Z2732234984	c1c2OC[C@@H](Cc2c2c(c1)N=C1[C@H]2C[C@@H](CN1)CN(C)C)CN(C)C	0.47117296222664	Benzimidazole13ibis
CC(=O)NC(C(=O)O)C1CCCC1	Z168827502	c1c2OC[C@@H](Cc2c2c(c1)N=C1[C@H]2C[C@@H](CN1)CN(C)C)CN(C)C	0.47117296222664	Benzimidazole13ibis
C1CN(CCC1N1C(Nc2ccccc12)=O)c1cc(NCCO)nc(N)n1	21582243	C[NH+](C)CCCOC1=CC=C2N=C3NCC(C[NH+](C)C)CN3C2=C1	0.471169686985173	Benzimidazole 10
C1=NN2C(=CC(=NC2=N1)C=3C=CC=NC3)NC(CC=4C=CC=CN4)C=5C=CC=CN5	Z6833150597	O=C(c1ccc(cc1)C(=O)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1	0.471164309031556	Compound 9
COC=1C=CC(=CC1)C2=NN(C=C2CN(C)CC(=O)N3CCCC3)C=4C=CC=CC4	Z134782472	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.471153846153846	Compound 2ab
NCC=1N=CNC1C(=O)NCC=2C=CC=C(C2)C=3C=CN=CC3	Z5292510704	C[NH+](C)CC1CC2=C3N4CC(C[NH+](C)C)CNC4=[NH+]C3=CC=C2O1	0.471153846153846	Isis-22
NC(=O)CN1CCCC1CC=2C(Cl)=CC=CC2F	Z644743576	c1c2OC[C@@H](Cc2c2c(c1)N=C1[C@H]2C[C@@H](CN1)CN(C)C)CN(C)C	0.471153846153846	Benzimidazole13ibis
CC1CN(CC=2C=CC=3C=NNC3C2)CCN1CC(O)C=4C=CC=CC4	Z1568560946	c1c2OC[C@@H](Cc2c2c(c1)N=C1[C@H]2C[C@@H](CN1)CN(C)C)CN(C)C	0.471153846153846	Benzimidazole13ibis
COC=1C=CC(=CC1)CCC(=O)N2CCCN(CC2)C(C)C(N)=O	Z1002736680	c1cc(ccc1C(=O)C)C(=O)N[C@H](C(=O)N1C[C@H](C[C@H](C1)N)N)CCCNC(=N)N	0.471153846153846	benzamide derivative
CNCC1CCN(C1)C(=O)C=2C=CC=CC2OCC=3C=CC(Cl)=CC3	Z2242915458	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.471153846153846	Compound 2ab
CC1=CC(=NO1)NC(=O)CSCC(=O)NC=2C=NC=CC2O	Z595801894	c1c2OC[C@@H](Cc2c2c(c1)N=C1[C@H]2C[C@@H](CN1)CN(C)C)CN(C)C	0.471153846153846	Benzimidazole13ibis
O=C(NCCC=1C=NC=2C=CC=CC2C1)C3=NN4CCCNC4=N3	Z2961863533	COc1ccc2c(c1)nc(nc2C)NC(=N)N	0.471142520612485	VS compound 8c
CC(C)(C)C=1C=CC=2NC(=CC2C1)C(=O)NC3CCC=4C=NNC4C3	Z2957229192	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.471142520612485	Compound 2ab
CCC1=CC(=NN1)C(=O)NC=2C=CC(=CC2)[C@@H]3C[C@H]3C(=O)O |&1:16,18,r|	Z2755633393	O=C(c1ccc(cc1)C(=O)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1	0.471140939597315	Compound 9
CC=1C=C(N=C(C)N1)C(=O)NC[C@@H]2C[C@H](F)CN2CC(N)=O	Z1763222877	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.471140939597315	Compound 2ab
C1=CN(C=N1)CC=2N=C(C=3C=CC=CC3)C=4C=CC=CC4N2	Z297702268	COc1ccc2c(c1)nc(nc2C)NC(=N)N	0.471140939597315	VS compound 8c
O=C(NCC1=NC=2C=CC=CC2N1C3CC3)C=4C=NC=5NC(=O)NC5C4	Z2165091546	CN(CCCn1c(nc2c1c1CC(COc1cc2)CN(C)C)N(C)C)C	0.471122647631408	Compound 2
CC=1C=NN(C1)C2CCCN(C2)C(=O)C=3C=NC4=NNC(C)=C4C3	Z1139348264	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.471121177802945	Compound 2ab
C=CCN1C(=O)C=2SC=CC2N=C1SCCN3C=C(C#N)C=N3	Z1272956712	COc1ccc2c(c1)nc(nc2C)NC(=N)N	0.471121177802945	VS compound 8c
COc1ccc(cc1)S(c1cnc2ccc(cc2c1NCc1ccc(cc1)F)F)(=O)=O	C769-1653	COc1ccc2c(c1)nc(nc2C)NC(=N)N	0.471121177802945	VS compound 8c
CCOC=1C=CC(=CC1OC)C(CN)C2=CNC=3C=CC=CC23	Z94598637	COc1ccc2c(c1)nc(nc2C)NC(=N)N	0.471116816431322	VS compound 8c
CN1C(=O)NC(=O)C2=C1N=C(N2CC=3C=CC(F)=CC3)N4CCNCC4	Z237731552	C[NH+](C)CC1CC2=C3N4CC(C[NH+](C)C)CNC4=[NH+]C3=CC=C2O1	0.471113758189398	Isis-22
NC=1N=CN=C2C1N=CN2CC(=O)NC3=CNC4=CC=CC(F)=C34	Z6326496575	COc1ccc2c(c1)nc(nc2C)NC(=N)N	0.471111111111111	VS compound 8c
COC=1C=CC=C(C1)C(NS(=O)(=O)C2=CC=C3NC(=O)CCC3=C2)C4=NC=CN4C	Z185188600	COc1ccc2c(c1)nc(nc2C)NC(=N)N	0.471111111111111	VS compound 8c
COC=1C=CC=C(C1)C2=CNC(=N2)C3CCCN3S(=O)(=O)C=4C=CC=CC4F	Z1415963651	COc1ccc2c(c1)nc(nc2C)NC(=N)N	0.471111111111111	VS compound 8c
CN1N=C(C=C1C=2C=CC=3CNC(=O)NC3C2)C=4C=CC=CC4	Z3482423996	O=C(c1ccc(cc1)c1ccc(cc1)C(=O)Nc1cccc(c1)C1=NCCN1)Nc1cccc(c1)C1=NCCN1	0.471105527638191	Compound 10
CC1=CNC(=N1)C=2C=CC=CC2NC(=O)C3=CC(=CO3)C(N)=O	Z1453957418	O=C(c1ccc(cc1)C(=O)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1	0.471105527638191	Compound 9
CN1CCN(CC1)C=2C=CN=C(C2)C3=NC4=C(COC4(C)C)C(=O)N3	Z3302382268	O=C(c1ccc(cc1)C(=O)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1	0.471101417666303	Compound 9
C1CC(CNc2c(nc(c3ccc(cc3)F)o2)S(c2ccccc2)(=O)=O)OC1	D072-0267	O=C(c1ccc(cc1)C(=O)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1	0.471101417666303	Compound 9
NC=1N=C(O)C=2CN(CC2N1)C(=O)CC3CC4CC4C3	Z4230994654	COc1ccc2c(c1)nc(nc2C)NC(=N)N	0.471094710947109	VS compound 8c
CC(OC=1C=CC(=CC1)N2C=NN=N2)C(=O)NC=3C=CC(Br)=CC3	Z25181670	C[NH+](C)CC1CC2=C3N4CC(C[NH+](C)C)CNC4=[NH+]C3=CC=C2O1	0.471092077087794	Isis-22
CC=1NN=CC1S(=O)(=O)NC=2C=CC(=CC2)CC(C)C(=O)O	Z1672668958	c1c2OC[C@@H](Cc2c2c(c1)N=C1[C@H]2C[C@@H](CN1)CN(C)C)CN(C)C	0.471092077087794	Benzimidazole13ibis
CC(CNC(=O)C1=CN=C2C=CC=CN12)CNC(=O)C3=CN=C4C=CC=CN34	Z2232570229	C[NH+](C)CC1CC2=C3N4CC(C[NH+](C)C)CNC4=[NH+]C3=CC=C2O1	0.471083070452156	Isis-22
CCN1C=C(C(=O)N2CC=3C=CC(=CC3C2)C(=O)O)C(=N1)C4CC4	Z2755464518	O=C(c1ccc(cc1)C(=O)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1	0.471074380165289	Compound 9
CN1N=NN=C1CNC2=CC(=CC=C2OCC(F)F)C(N)=O	Z2179265902	O=C(c1ccc(cc1)C(=O)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1	0.471074380165289	Compound 9
CC(C)NC=1C=CC=C(C1)CNC(=O)C2(CC3CCC2C3)C(=O)O	Z2607602987	O=C(c1ccc(cc1)C(=O)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1	0.471074380165289	Compound 9
COC=1C=CC=CC1C2=NNC(NC(=O)CN3CCNC(=O)C3)=C2C	Z2965260556	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.471074380165289	Compound 2ab
CN1N=CC=2C(=O)NC(=NC21)NC(C=3C=CC=CC3)C=4C=CC=CN4	Z1168165569	COc1ccc2c(c1)nc(nc2C)NC(=N)N	0.471074380165289	VS compound 8c
CC(NC(=O)C=1C=CC=C(C1)NC=2N=CC=CN2)C3=NN=C4CCCN34	Z826733964	O=C(c1ccc(cc1)C(=O)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1	0.471074380165289	Compound 9
CC(C)(C)OC(=O)NCC1=CSC(=C1)C(=O)NC=2C=C(NN2)C3=NC=4C=CC=CC4N3	Z4898705268	O=C(c1ccc(cc1)C(=O)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1	0.471064814814815	Compound 9
CCC=1C=C(N=C(N1)C=2C=CN=CC2)N3CCC(C3)N(C)C(=O)C=4C=NNC4	Z4493814321	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.471064814814815	Compound 2ab
O=S(=O)(C1=CNC=2N=CC=CC12)N3CCN(CC=4C=CC=5C=NNC5C4)CC3	Z1566424996	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.471064814814815	Compound 2ab
O=C(NC=1SC=2C=CC=CC2C(=O)C1C=3C=CC(F)=CC3)C=4C=CC(F)=CC4	Z1013696094	O=C(c1ccc(cc1)c1ccc(cc1)C(=O)Nc1cccc(c1)C1=NCCN1)Nc1cccc(c1)C1=NCCN1	0.471064814814815	Compound 10
NC(=O)C1=CN(CC(=O)NC2CCN3C=CN=C3C2)C=4C=CC=CC14	Z1748412126	COc1ccc2c(c1)nc(nc2C)NC(=N)N	0.47105561861521	VS compound 8c
CC=1N=C(NC(C2=NN=C3C=CC=CN23)C(C)C)C=4C=NNC4N1	Z3391390690	COc1ccc2c(c1)nc(nc2C)NC(=N)N	0.47105561861521	VS compound 8c
CCNC(=O)CN1CCN(CC1)C(=O)C2=NNC=3C=CC(C)=CC23	Z645792428	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.471052631578947	Compound 2ab
CC(CCS(C)(=O)=O)NC(=O)C=1C=CC=C(C1)NC=2C=NC=CN2	Z1429088427	CN1CCN(CC1)CCCNc1nc2cc(ccc2nc1NCCCc1ccc(cc1)NC(=O)CCCCC1SCC2C1NC(=O)N2)[N+](=O)O	0.471046770601336	Compound 4c
COCC=1N=C(C)C=C(N1)N2C[C@@H](CNC(=O)C3(C)CC3)[C@@H](C2)C4=CN=CN4C	Z3061991917	COc1ccc2c(c1)nc(nc2C)NC(=N)N	0.47103825136612	VS compound 8c
CCC=1ON=C(C)C1CN2CCC3(CC2)CN4N=C(C=C4CO3)C(N)=O	Z3042622595	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.47103825136612	Compound 2ab
CN1C(=O)NC(=O)C2=C1N=C(NCC=3C=CC=CC3Cl)N2CC=4C=CC=CC4	Z223844024	COc1ccc2c(c1)nc(nc2C)NC(=N)N	0.47103825136612	VS compound 8c
CCN1CCN(CC1)C=2C=CC=C(C2)NC(=O)C=3C=CC=4NN=NC4N3	Z2357942390	O=C(c1ccc(cc1)C(=O)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1	0.47103274559194	Compound 9
I.CCN1CCCC1CNC(N)=NCC=2C=CC(=CC2)N3C=CC=N3	Z1127485454	c12ccc3c(c1C[C@H](CO2)CN(C)C)n1c(n3)NC[C@H](C1)CN(C)C	0.471030042918455	dimethylamine_derivative
O=C(C=1C=C(C=CN1)C=2C=NC=3NC=CC3C2)N4CCC(CCO)C4	Z2773279458	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.471023427866831	Compound 2ab
CC(SC1=NN=NN1C2=CC=CC(F)=C2)C(N)=O	Z74697153	c1c2OC[C@@H](Cc2c2c(c1)N=C1[C@H]2C[C@@H](CN1)CN(C)C)CN(C)C	0.471022128556375	Benzimidazole13ibis
CN(C(=O)C=1C=C(C=CN1)C=2C=NC=3NC=CC3C2)C(CO)C4=CC=CC(F)=C4	Z7685521832	O=C(c1ccc(cc1)c1ccc(cc1)C(=O)Nc1cccc(c1)C1=NCCN1)Nc1cccc(c1)C1=NCCN1	0.471005917159763	Compound 10
CN1N=C(C=C1C2CC2)C(=O)NC3CCC=4C=NNC4C3	Z1411965482	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.471005917159763	Compound 2ab
CC=1C=CC(C)=C(C1)C2=NN=C(OCC(=O)NC3CCS(=O)(=O)C3)C4=CC=CC=C24	Z25943801	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.47098976109215	Compound 2ab
O=C(CCN1C=NC=2C=CC=CC2C1=O)NC3=CC=NC4=CC=NN34	Z1094883400	COc1ccc2c(c1)nc(nc2C)NC(=N)N	0.47098976109215	VS compound 8c
CC=1N=CC=C(N1)N2CCN(CC2)C(=O)CCC=3C(C)=NC4=NC(N)=NN4C3C	Z1678140359	COc1ccc2c(c1)nc(nc2C)NC(=N)N	0.47098976109215	VS compound 8c
CC(C)CN1CC(CC(=O)N2CC3=NNC=C3C2CO)OCC41CCC4	Z3675789720	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.47098976109215	Compound 2ab
COC=1C=CC=C(C1)C(C)N2CCN(CC2)C(=O)C3=CSN=C3C	Z1635957345	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.470985155195682	Compound 2ab
NC=1C=C2CN(CCC2=NN1)C(=O)C=3C=C(NN3)C4=CC=CO4	Z1139254693	O=C(c1ccc(cc1)C(=O)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1	0.470982142857143	Compound 9
COC=1C=CC(=CC1C)CNC(C=2C=CC=CC2)C=3C=CC=CN3	Z211323494	CN(CCCn1c(nc2c1c1CC(COc1cc2)CN(C)C)N(C)C)C	0.470974808324206	Compound 2
O=C(C=1C=NN2C(=CC=NC12)C=3C=CC=CC3)N4CCCCC4C5=NC=CN5	Z968614174	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.470967741935484	Compound 2ab
O=C(O)C1C[C@H]2C[C@@H](NC(=O)C=3C=CC=4NC=CC4N3)[C@H]2C1 |&1:5,7,20,r|	Z3009554115	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.470959595959596	Compound 2ab
CC(C)CC(CNC(=O)C(C)N1C=NC=N1)NC(=O)C=2SC=NC2C(C)C	Z4474193543	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.470944309927361	Compound 2ab
CC=1C=CC(=CC1)CN2C(=NC3=C2C(=O)NC(=O)N3C)N4CCNCC4	Z237733676	C[NH+](C)CC1CC2=C3N4CC(C[NH+](C)C)CNC4=[NH+]C3=CC=C2O1	0.470940683043739	Isis-22
CCCN1N=C(C)C(=C1C)C2=CC=CC3=C(C=NN23)C(=O)O	Z3256639731	C[NH+](C)CC1CC2=C3N4CC(C[NH+](C)C)CNC4=[NH+]C3=CC=C2O1	0.470937129300119	Isis-22
CN(C)C(CNC(=O)C1=CC=C(S1)C=2C=CC=3OCCOC3C2)C=4C=CC=C(F)C4	Z28553815	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.470937129300119	Compound 2ab
COC=1C=CC(=CC1)C2CCN(C2)C(=O)C=3C=NC4=NNC(C)=C4C3	Z983208738	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.470937129300119	Compound 2ab
CN1N=CC=2C(=O)N(C=NC21)CC(=O)NC3CCN4CCCCC34	Z423022488	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.47093023255814	Compound 2ab
CC(=O)N1CCC(C)(C1)C2=NC(=NO2)C=3C=CC=CC3OCCN(C)C	Z1684902383	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.47093023255814	Compound 2ab
CC1=CN=C2CCC(CN12)C(=O)NC=3C=CC=C4CN(CCC(C)C)CC34	Z4176080723	O=C(c1ccc(cc1)C(=O)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1)Nc1cc(cc(c1)C1=NCCN1)C1=NCCN1	0.470923603192702	Compound 9
CC=1C=CC=C(C1)C2CCCN2C(=O)C3=NNC=4N=CNC(=O)C34	Z3528003872	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.470917225950783	Compound 2ab
CC=1C=CC=C(C2=NC(C(=O)O)=C3CCCN23)C1C#N	Z5226814322	COc1ccc2c(c1)nc(nc2C)NC(=N)N	0.470911086717892	VS compound 8c
CC1=CC=CN2C(=O)C=C(CN3CCN4C=CC=C4C3C=5C=CC=CC5)N=C12	Z368893164	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.470911086717892	Compound 2ab
COC=1C=C(C=CC1C)C(=O)NC(CC2=CNC=N2)CC=3C=CC=CC3	Z1524810483	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.470906630581867	Compound 2ab
CC1(CCCO1)C=2C=C(N)ON2	Z1509482188	c12ccc3c(c1C[C@H](CO2)CN(C)C)n1c(n3)NC[C@H](C1)CN(C)C	0.470899470899471	dimethylamine_derivative
CC1CCCC(NC(=O)C(=O)NC=2C=CC(=NC2)NC(=O)C=3C=CC=CC3)C1C	Z1289876463	O=C(c1ccc(cc1)c1ccc(cc1)C(=O)Nc1cccc(c1)C1=NCCN1)Nc1cccc(c1)C1=NCCN1	0.470899470899471	Compound 10
N[C@@H]1C[C@H](N)[C@H]([C@@H]([C@H]1OCn1ccc(n1)I)O)O	Target_lig_1203	CC1(COC(C(C1NC)O)OC2C(CC(C(C2O)OC3C(CC=C(O3)CN)N)N)N)O	0.470892626131953	sisomicin
O=C(C=1C=CC(Br)=CC1N2C=NC=N2)N3CCNCC3	Z2242885873	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.47087980173482	Compound 2ab
CC(C(N)=O)N1CCC(CC1)NC(=O)C=2C=COC2	Z840221340	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.470873786407767	Compound 2ab
NC=1C=CC=2C(=NC=NC2N1)N3CCCC3C(=O)NC4CC4	Z1795998861	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.470868014268728	Compound 2ab
CC(C)N1C=NC=2C=CC(=CC21)CNC=3N=CN=C4CCCC34	Z3077806239	COc1ccc2c(c1)nc(nc2C)NC(=N)N	0.470868014268728	VS compound 8c
CC=1N=C(N)NC(=O)C1CC(=O)N2C=3C=CC=CC3CC2C	Z415043978	COc1ccc2c(c1)nc(nc2C)NC(=N)N	0.470862470862471	VS compound 8c
CC(C=1C=NC=CN1)N2CCCC(C2)C3=NC=4CCCCC4S3	Z1699785147	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.470862470862471	Compound 2ab
CN(C)C(CNC(=O)NCCNC=1C=NC=CN1)C2=CC=CC(F)=C2	Z447946706	CN1CCN(CC1)CCCNc1nc2cc(ccc2nc1NCCCc1ccc(cc1)NC(=O)CCCCC1SCC2C1NC(=O)N2)[N+](=O)O	0.470857142857143	Compound 4c
CN1C=CN=C1C(NC=2N=CN=C3C=CSC23)C4=CC=CC(F)=C4	Z196149760	COc1ccc2c(c1)nc(nc2C)NC(=N)N	0.470857142857143	VS compound 8c
COC=1C=CC(=CC1)C2C=C(NC3=NN=NN32)C=4C=CC=CC4	Z53207164	CC(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1C[C@@H]([NH3+])C[C@@H]([NH3+])C1	0.470857142857143	Compound 2ab
O=C(NC=1NN=CC1C=2C=CC=3OCOC3C2)C4COC5=CC=CC=C54	Z1276146644	COc1ccc2c(c1)nc(nc2C)NC(=N)N	0.470857142857143	VS compound 8c
