RNA_VS_library	Mol_ID	DrugBank_molecule	Max_TC	DrugBank_ID
CN1CC=2C(=CC=CC2C(C1)C=3C=CC=CC3)NCC4=CN=C5COCCN45	Z4137838259	CN1Cc2c(N)cccc2[C@@H](c2ccccc2)C1	0.570652173913043	DB04821
CC1CCCCC1CN2CCC(CC2)C(=O)O	Z2238630101	O=C(O)[C@@H]1CCCNC1	0.570652173913043	DB08849
CC(=O)NC1CC1CNC(=O)C=2C=C(C=CN2)C=3C=NC=4NC=CC4C3	Z8222130216	O=C(O)c1ccc(-c2c[nH]c3ncc(-c4ccccc4)cc23)cc1	0.570652173913043	DB08191
NC(=O)C1=NOC(=N1)C2CCCN2C=3N=CN=C4NN=CC34	Z1757697405	CC[C@H](Nc1cc(C)nc2c(-c3ccc(OC)cc3C)c(C)nn12)c1nc(C)no1	0.570645554202192	DB12512
CC(C=1C=CC(F)=CC1F)N2CCN(CC2)C(=O)CC3=CNC=4N=CC=CC34	Z1400963997	[NH3+][C@@H](Cc1c[nH]c2ncccc12)C(=O)[O-]	0.570637119113573	DB04206
OC(COC=1C=CC(Cl)=CC1)CN2C(=NC=3C=CC=CC32)C4=CSC=N4	Z229123470	Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)CO)c2cc1C	0.57062543921293	DB00140
NC(=O)CCNC(=O)C=1C=CC=C(C1)NC(=O)C2=CC=C(F)C=C2F	Z1101948471	O=C(Nc1ccc2[nH]ccc2c1)c1cc(F)cc(N2CCOCC2)c1	0.570621468926554	DB08092
O=C(NNC=1N=CN=C2C=CC=CC12)C=3C=CC(=CC3)CN4C(=O)C5CCCCC5C4=O	Z3269089416	O=C1NNc2nc(CN3Cc4ccccc4C3)nc3cccc1c23	0.570621468926554	DB16063
O=C(CC1=CN2C=CC=CC2=N1)NC=3C=CC=4NN=NC4C3	Z1420682803	Fc1ccc2nc(CCC#Cc3ccccn3)cn2c1	0.570613409415121	DB12733
CC(NC(=O)CC1SC=2C=CC(=CC2NC1=O)C(F)(F)F)C3=NC=4C=CC=CC4N3	Z199951150	O=C(C[C@H]1Sc2ccccc2NC1=O)NO	0.570610687022901	DB02036
CC1=NNC(CC(=O)N2CCC=3C=CC=CC3[C@H]2C=4C=CC=CC4)=N1	Z2640551451	O=C(O)CCCCCCNC1c2ccccc2CCc2ccccc21	0.570596797671033	DB04836
CN(CCCNc1nc2cc(ccc2nc1NCCCN1CCN(CC1)C)[N+](=O)O)C	Target_lig_1683	O=c1[nH]c2cc([N+](=O)[O-])c([N+](=O)[O-])cc2[nH]c1=O	0.570588235294118	DB03759
CC(NC(=O)C=1C=CC=CC1)C(=O)NC=2C=CC(=NC2)N3CCN(C)CC3	Z230188340	COc1ccc(CN(CCN(C)C)c2ccccn2)cc1	0.570579494799406	DB06691
O=C(O)C1=CN=C(NC2=CC=C3OCOC3=C2)S1	Z1413720707	CC(=O)c1sc(Nc2ccccc2)nc1C	0.570570570570571	DB08359
CN1C=C(N=N1)C2=CC(=NO2)C(=O)NC3=CN(C)N=C3C4=CC=CC=N4	Z4954982168	Cc1c(C(=O)O)ccc2c3n(nc12)[C@@H]1[C@H](C3)N(CC2CC2)[C@@]2(C(=O)Nc3cc(Cl)ccc32)[C@H]1c1cccc(Cl)c1F	0.570570570570571	DB18578
O=C1CCCN1CC(O)CN2CCN(CC2)C3=CC(=NN3)C4CC4	Z1745270819	O=C(Cc1ccc2ccccc2c1)Nc1cc(C2CC2)[nH]n1	0.570561456752656	DB06944
CC=1N=C2C=CC=CC2=C(C1C)N3CCC(CC3)N4C=NC(C(N)=O)=C4N	Z2179830490	N=c1ccc2c3ccc([NH3+])cc3c(-c3ccccc3)n(CCCCCCc3cn(CCNc4c5c(nc6ccccc46)CCCC5)nn3)c-2c1	0.57055589492975	DB02226
CN(C)C1=NC(=NC2=CC=CC=C21)NC3=CC4=C(C=C3)OCCO4 	Target_lig_889	COc1cc2ncnc(Nc3cccc(O)c3)c2cc1OC	0.570552147239264	DB03365
CN(C)c1nc(Nc2ccc3OCCOc3c2)nc2ccccc12	Target_lig_1475	COc1cc2ncnc(Nc3cccc(O)c3)c2cc1OC	0.570552147239264	DB03365
CN1C(=O)C[C@@H](NC=2C=CN=C3C=CC=CC23)[C@@H]1C4=CC=CN=C4	Z2053893880	Clc1ccc2c(N3CCN(CCCN4CCN(c5ccnc6cc(Cl)ccc56)CC4)CC3)ccnc2c1	0.570544554455446	DB13941
NC=1N=CC(=CC1C=2C=CC=CC2)C(=O)O	Z2050085684	O=C[C@H](CC(=O)O)NC(=O)c1cncc(-c2ccc(C(=O)O)cc2)c1	0.570542635658915	DB08251
C=1C=CC(=NC1)NCC2CCN(CC=3C=CC=4OCCOC4C3)C2	Z990546708	c1cnc(N2CCN(Cc3ccc4c(c3)OCO4)CC2)nc1	0.570542635658915	DB12478
NC(=O)C=1C=C(Cl)C=CC1NC(=O)C=2C=C(C=CN2)C=3C=NC=4NC=CC4C3	Z4453055582	O=C(O)c1ccc(-c2c[nH]c3ncc(-c4ccccc4)cc23)cc1	0.570528967254408	DB08191
